date,realtime_start,realtime_end,value
2017-12-01,2025-01-15,2025-01-15,1177.0
2018-01-01,2025-01-15,2025-01-15,1299.0
2018-02-01,2025-01-15,2025-01-15,1277.0
2018-03-01,2025-01-15,2025-01-15,1318.0
2018-04-01,2025-01-15,2025-01-15,1276.0
2018-05-01,2025-01-15,2025-01-15,1357.0
2018-06-01,2025-01-15,2025-01-15,1192.0
2018-07-01,2025-01-15,2025-01-15,1208.0
2018-08-01,2025-01-15,2025-01-15,1288.0
2018-09-01,2025-01-15,2025-01-15,1250.0
2018-10-01,2025-01-15,2025-01-15,1221.0
2018-11-01,2025-01-15,2025-01-15,1181.0
2018-12-01,2025-01-15,2025-01-15,1095.0
2019-01-01,2025-01-15,2025-01-15,1226.0
2019-02-01,2025-01-15,2025-01-15,1121.0
2019-03-01,2025-01-15,2025-01-15,1191.0
2019-04-01,2025-01-15,2025-01-15,1272.0
2019-05-01,2025-01-15,2025-01-15,1293.0
2019-06-01,2025-01-15,2025-01-15,1243.0
2019-07-01,2025-01-15,2025-01-15,1240.0
2019-08-01,2025-01-15,2025-01-15,1375.0
2019-09-01,2025-01-15,2025-01-15,1311.0
2019-10-01,2025-01-15,2025-01-15,1325.0
2019-11-01,2025-01-15,2025-01-15,1353.0
2019-12-01,2025-01-15,2025-01-15,1548.0
2020-01-01,2025-01-15,2025-01-15,1578.0
2020-02-01,2025-01-15,2025-01-15,1537.0
2020-03-01,2025-01-15,2025-01-15,1252.0
2020-04-01,2025-01-15,2025-01-15,931.0
